serial_number,hostname,mgmt_ip,mgmt_ip_mask,mgmt_gateway,internet_ip,internet_ip_mask,internet_gateway,fixed_ip,dns_server,ntp_server,mac_address,snmp_location,junos_template,junos_image,vc,vc_member_number,vc_role
CV4617AF0848,srx300_test,192.168.4.137,24,192.168.4.254,80.192.191.51,22,80.192.191.254,192.168.4.138,192.168.5.1,192.168.5.1,D0:07:CA:EC:89:80,Kolas_home,junos_srx300.j2,junos-srxsme-19.4R3-S1.3.tgz,,,
CV4617AF0157,srx300_testb,192.168.4.139,24,192.168.4.254,80.192.191.51,22,80.192.191.254,192.168.4.140,192.168.5.1,192.168.5.1,d0:07:ca:eb:30:00,Kolas_home,junos_srx300.j2,junos-srxsme-19.4R3-S1.3.tgz,,,
